Series ID,Year,Period,Label,Value
LASST010000000000003,2020,M01,2020 Jan,2.7
LASST010000000000003,2020,M02,2020 Feb,2.6
LASST010000000000003,2020,M03,2020 Mar,2.6
LASST010000000000003,2020,M04,2020 Apr,13.2
LASST010000000000003,2020,M05,2020 May,7.9
LASST010000000000003,2020,M06,2020 Jun,7.7
LASST010000000000003,2020,M07,2020 Jul,7.4
LASST010000000000003,2020,M08,2020 Aug,7.1
LASST010000000000003,2020,M09,2020 Sep,6.7
LASST010000000000003,2020,M10,2020 Oct,4.7
LASST010000000000003,2020,M11,2020 Nov,4.7
LASST010000000000003,2020,M12,2020 Dec,4.7
LASST010000000000003,2021,M01,2021 Jan,4.3
LASST010000000000003,2021,M02,2021 Feb,4
LASST010000000000003,2021,M03,2021 Mar,3.8
LASST010000000000003,2021,M04,2021 Apr,3.6
LASST010000000000003,2021,M05,2021 May,3.4
LASST010000000000003,2021,M06,2021 Jun,3.3
LASST010000000000003,2021,M07,2021 Jul,3.2
LASST010000000000003,2021,M08,2021 Aug,3.1
LASST010000000000003,2021,M09,2021 Sep,3.1
LASST020000000000003,2020,M01,2020 Jan,5
LASST020000000000003,2020,M02,2020 Feb,5.1
LASST020000000000003,2020,M03,2020 Mar,5.1
LASST020000000000003,2020,M04,2020 Apr,11.8
LASST020000000000003,2020,M05,2020 May,11.6
LASST020000000000003,2020,M06,2020 Jun,11.3
LASST020000000000003,2020,M07,2020 Jul,11
LASST020000000000003,2020,M08,2020 Aug,7.2
LASST020000000000003,2020,M09,2020 Sep,7
LASST020000000000003,2020,M10,2020 Oct,6.5
LASST020000000000003,2020,M11,2020 Nov,6.5
LASST020000000000003,2020,M12,2020 Dec,6.5
LASST020000000000003,2021,M01,2021 Jan,6.6
LASST020000000000003,2021,M02,2021 Feb,6.6
LASST020000000000003,2021,M03,2021 Mar,6.7
LASST020000000000003,2021,M04,2021 Apr,6.7
LASST020000000000003,2021,M05,2021 May,6.6
LASST020000000000003,2021,M06,2021 Jun,6.6
LASST020000000000003,2021,M07,2021 Jul,6.6
LASST020000000000003,2021,M08,2021 Aug,6.4
LASST020000000000003,2021,M09,2021 Sep,6.3
LASST040000000000003,2020,M01,2020 Jan,4.8
LASST040000000000003,2020,M02,2020 Feb,4.9
LASST040000000000003,2020,M03,2020 Mar,5
LASST040000000000003,2020,M04,2020 Apr,14.2
LASST040000000000003,2020,M05,2020 May,10.6
LASST040000000000003,2020,M06,2020 Jun,10.7
LASST040000000000003,2020,M07,2020 Jul,10.4
LASST040000000000003,2020,M08,2020 Aug,7
LASST040000000000003,2020,M09,2020 Sep,6.9
LASST040000000000003,2020,M10,2020 Oct,6.8
LASST040000000000003,2020,M11,2020 Nov,6.8
LASST040000000000003,2020,M12,2020 Dec,6.8
LASST040000000000003,2021,M01,2021 Jan,6.7
LASST040000000000003,2021,M02,2021 Feb,6.9
LASST040000000000003,2021,M03,2021 Mar,6.7
LASST040000000000003,2021,M04,2021 Apr,6.7
LASST040000000000003,2021,M05,2021 May,6.7
LASST040000000000003,2021,M06,2021 Jun,6.8
LASST040000000000003,2021,M07,2021 Jul,6.6
LASST040000000000003,2021,M08,2021 Aug,6.2
LASST040000000000003,2021,M09,2021 Sep,5.7
LASST050000000000003,2020,M01,2020 Jan,3.7
LASST050000000000003,2020,M02,2020 Feb,3.8
LASST050000000000003,2020,M03,2020 Mar,3.9
LASST050000000000003,2020,M04,2020 Apr,10
LASST050000000000003,2020,M05,2020 May,8.5
LASST050000000000003,2020,M06,2020 Jun,7.8
LASST050000000000003,2020,M07,2020 Jul,7.1
LASST050000000000003,2020,M08,2020 Aug,6.5
LASST050000000000003,2020,M09,2020 Sep,5.9
LASST050000000000003,2020,M10,2020 Oct,5.6
LASST050000000000003,2020,M11,2020 Nov,5.3
LASST050000000000003,2020,M12,2020 Dec,4.9
LASST050000000000003,2021,M01,2021 Jan,4.6
LASST050000000000003,2021,M02,2021 Feb,4.5
LASST050000000000003,2021,M03,2021 Mar,4.4
LASST050000000000003,2021,M04,2021 Apr,4.4
LASST050000000000003,2021,M05,2021 May,4.4
LASST050000000000003,2021,M06,2021 Jun,4.4
LASST050000000000003,2021,M07,2021 Jul,4.3
LASST050000000000003,2021,M08,2021 Aug,4.2
LASST050000000000003,2021,M09,2021 Sep,4
LASST060000000000003,2020,M01,2020 Jan,4.2
LASST060000000000003,2020,M02,2020 Feb,4.3
LASST060000000000003,2020,M03,2020 Mar,4.5
LASST060000000000003,2020,M04,2020 Apr,16
LASST060000000000003,2020,M05,2020 May,15.6
LASST060000000000003,2020,M06,2020 Jun,14.1
LASST060000000000003,2020,M07,2020 Jul,13.2
LASST060000000000003,2020,M08,2020 Aug,12.3
LASST060000000000003,2020,M09,2020 Sep,10.6
LASST060000000000003,2020,M10,2020 Oct,9.8
LASST060000000000003,2020,M11,2020 Nov,8.7
LASST060000000000003,2020,M12,2020 Dec,9.3
LASST060000000000003,2021,M01,2021 Jan,9
LASST060000000000003,2021,M02,2021 Feb,8.5
LASST060000000000003,2021,M03,2021 Mar,8.3
LASST060000000000003,2021,M04,2021 Apr,8
LASST060000000000003,2021,M05,2021 May,7.7
LASST060000000000003,2021,M06,2021 Jun,7.6
LASST060000000000003,2021,M07,2021 Jul,7.6
LASST060000000000003,2021,M08,2021 Aug,7.5
LASST060000000000003,2021,M09,2021 Sep,7.5
LASST080000000000003,2020,M01,2020 Jan,2.7
LASST080000000000003,2020,M02,2020 Feb,2.8
LASST080000000000003,2020,M03,2020 Mar,4.7
LASST080000000000003,2020,M04,2020 Apr,12.1
LASST080000000000003,2020,M05,2020 May,11.6
LASST080000000000003,2020,M06,2020 Jun,11.3
LASST080000000000003,2020,M07,2020 Jul,7.4
LASST080000000000003,2020,M08,2020 Aug,7.1
LASST080000000000003,2020,M09,2020 Sep,7
LASST080000000000003,2020,M10,2020 Oct,6.9
LASST080000000000003,2020,M11,2020 Nov,6.9
LASST080000000000003,2020,M12,2020 Dec,6.9
LASST080000000000003,2021,M01,2021 Jan,6.6
LASST080000000000003,2021,M02,2021 Feb,6.4
LASST080000000000003,2021,M03,2021 Mar,6.4
LASST080000000000003,2021,M04,2021 Apr,6.4
LASST080000000000003,2021,M05,2021 May,6.2
LASST080000000000003,2021,M06,2021 Jun,6.2
LASST080000000000003,2021,M07,2021 Jul,6.1
LASST080000000000003,2021,M08,2021 Aug,5.9
LASST080000000000003,2021,M09,2021 Sep,5.6
LASST090000000000003,2020,M01,2020 Jan,3.7
LASST090000000000003,2020,M02,2020 Feb,3.7
LASST090000000000003,2020,M03,2020 Mar,3.8
LASST090000000000003,2020,M04,2020 Apr,8.6
LASST090000000000003,2020,M05,2020 May,11.4
LASST090000000000003,2020,M06,2020 Jun,11.4
LASST090000000000003,2020,M07,2020 Jul,11.3
LASST090000000000003,2020,M08,2020 Aug,8.4
LASST090000000000003,2020,M09,2020 Sep,8.3
LASST090000000000003,2020,M10,2020 Oct,8.2
LASST090000000000003,2020,M11,2020 Nov,8.2
LASST090000000000003,2020,M12,2020 Dec,8.2
LASST090000000000003,2021,M01,2021 Jan,8.1
LASST090000000000003,2021,M02,2021 Feb,8.5
LASST090000000000003,2021,M03,2021 Mar,8.3
LASST090000000000003,2021,M04,2021 Apr,8.1
LASST090000000000003,2021,M05,2021 May,8.1
LASST090000000000003,2021,M06,2021 Jun,7.7
LASST090000000000003,2021,M07,2021 Jul,7.3
LASST090000000000003,2021,M08,2021 Aug,7.2
LASST090000000000003,2021,M09,2021 Sep,6.8
LASST100000000000003,2020,M01,2020 Jan,4.3
LASST100000000000003,2020,M02,2020 Feb,4.5
LASST100000000000003,2020,M03,2020 Mar,4.8
LASST100000000000003,2020,M04,2020 Apr,13.4
LASST100000000000003,2020,M05,2020 May,13.3
LASST100000000000003,2020,M06,2020 Jun,12.9
LASST100000000000003,2020,M07,2020 Jul,8.3
LASST100000000000003,2020,M08,2020 Aug,7.9
LASST100000000000003,2020,M09,2020 Sep,7.6
LASST100000000000003,2020,M10,2020 Oct,5.7
LASST100000000000003,2020,M11,2020 Nov,5.8
LASST100000000000003,2020,M12,2020 Dec,5.9
LASST100000000000003,2021,M01,2021 Jan,6.1
LASST100000000000003,2021,M02,2021 Feb,6.3
LASST100000000000003,2021,M03,2021 Mar,6.5
LASST100000000000003,2021,M04,2021 Apr,6.4
LASST100000000000003,2021,M05,2021 May,5.9
LASST100000000000003,2021,M06,2021 Jun,5.8
LASST100000000000003,2021,M07,2021 Jul,5.6
LASST100000000000003,2021,M08,2021 Aug,5.4
LASST100000000000003,2021,M09,2021 Sep,5.3
LASST120000000000003,2020,M01,2020 Jan,3.3
LASST120000000000003,2020,M02,2020 Feb,3.3
LASST120000000000003,2020,M03,2020 Mar,4.9
LASST120000000000003,2020,M04,2020 Apr,14
LASST120000000000003,2020,M05,2020 May,14.2
LASST120000000000003,2020,M06,2020 Jun,11.6
LASST120000000000003,2020,M07,2020 Jul,11.5
LASST120000000000003,2020,M08,2020 Aug,7.9
LASST120000000000003,2020,M09,2020 Sep,7.2
LASST120000000000003,2020,M10,2020 Oct,5.8
LASST120000000000003,2020,M11,2020 Nov,5.4
LASST120000000000003,2020,M12,2020 Dec,5.1
LASST120000000000003,2021,M01,2021 Jan,4.8
LASST120000000000003,2021,M02,2021 Feb,4.7
LASST120000000000003,2021,M03,2021 Mar,4.7
LASST120000000000003,2021,M04,2021 Apr,4.8
LASST120000000000003,2021,M05,2021 May,4.9
LASST120000000000003,2021,M06,2021 Jun,5
LASST120000000000003,2021,M07,2021 Jul,5.1
LASST120000000000003,2021,M08,2021 Aug,5
LASST120000000000003,2021,M09,2021 Sep,4.9
LASST130000000000003,2020,M01,2020 Jan,3.3
LASST130000000000003,2020,M02,2020 Feb,3.5
LASST130000000000003,2020,M03,2020 Mar,3.6
LASST130000000000003,2020,M04,2020 Apr,12.5
LASST130000000000003,2020,M05,2020 May,9.4
LASST130000000000003,2020,M06,2020 Jun,8.4
LASST130000000000003,2020,M07,2020 Jul,7.6
LASST130000000000003,2020,M08,2020 Aug,7
LASST130000000000003,2020,M09,2020 Sep,6.5
LASST130000000000003,2020,M10,2020 Oct,5.9
LASST130000000000003,2020,M11,2020 Nov,5.6
LASST130000000000003,2020,M12,2020 Dec,5.3
LASST130000000000003,2021,M01,2021 Jan,5.1
LASST130000000000003,2021,M02,2021 Feb,4.8
LASST130000000000003,2021,M03,2021 Mar,4.5
LASST130000000000003,2021,M04,2021 Apr,4.3
LASST130000000000003,2021,M05,2021 May,4.1
LASST130000000000003,2021,M06,2021 Jun,4
LASST130000000000003,2021,M07,2021 Jul,3.7
LASST130000000000003,2021,M08,2021 Aug,3.5
LASST130000000000003,2021,M09,2021 Sep,3.2
LASST150000000000003,2020,M01,2020 Jan,2
LASST150000000000003,2020,M02,2020 Feb,2.1
LASST150000000000003,2020,M03,2020 Mar,2.1
LASST150000000000003,2020,M04,2020 Apr,21.9
LASST150000000000003,2020,M05,2020 May,21.9
LASST150000000000003,2020,M06,2020 Jun,14.1
LASST150000000000003,2020,M07,2020 Jul,14.1
LASST150000000000003,2020,M08,2020 Aug,14.1
LASST150000000000003,2020,M09,2020 Sep,14.8
LASST150000000000003,2020,M10,2020 Oct,14
LASST150000000000003,2020,M11,2020 Nov,10.3
LASST150000000000003,2020,M12,2020 Dec,10.3
LASST150000000000003,2021,M01,2021 Jan,10.3
LASST150000000000003,2021,M02,2021 Feb,9.2
LASST150000000000003,2021,M03,2021 Mar,9.1
LASST150000000000003,2021,M04,2021 Apr,8.5
LASST150000000000003,2021,M05,2021 May,8
LASST150000000000003,2021,M06,2021 Jun,7.7
LASST150000000000003,2021,M07,2021 Jul,7.3
LASST150000000000003,2021,M08,2021 Aug,7
LASST150000000000003,2021,M09,2021 Sep,6.6
LASST160000000000003,2020,M01,2020 Jan,2.6
LASST160000000000003,2020,M02,2020 Feb,2.6
LASST160000000000003,2020,M03,2020 Mar,2.7
LASST160000000000003,2020,M04,2020 Apr,11.6
LASST160000000000003,2020,M05,2020 May,8.3
LASST160000000000003,2020,M06,2020 Jun,7
LASST160000000000003,2020,M07,2020 Jul,5.9
LASST160000000000003,2020,M08,2020 Aug,4.9
LASST160000000000003,2020,M09,2020 Sep,6
LASST160000000000003,2020,M10,2020 Oct,4.8
LASST160000000000003,2020,M11,2020 Nov,4.3
LASST160000000000003,2020,M12,2020 Dec,3.8
LASST160000000000003,2021,M01,2021 Jan,3.5
LASST160000000000003,2021,M02,2021 Feb,3.3
LASST160000000000003,2021,M03,2021 Mar,3.2
LASST160000000000003,2021,M04,2021 Apr,3.1
LASST160000000000003,2021,M05,2021 May,3
LASST160000000000003,2021,M06,2021 Jun,3
LASST160000000000003,2021,M07,2021 Jul,3
LASST160000000000003,2021,M08,2021 Aug,2.9
LASST160000000000003,2021,M09,2021 Sep,2.9
LASST170000000000003,2020,M01,2020 Jan,3.5
LASST170000000000003,2020,M02,2020 Feb,3.6
LASST170000000000003,2020,M03,2020 Mar,3.7
LASST170000000000003,2020,M04,2020 Apr,16.5
LASST170000000000003,2020,M05,2020 May,15.4
LASST170000000000003,2020,M06,2020 Jun,14.2
LASST170000000000003,2020,M07,2020 Jul,12
LASST170000000000003,2020,M08,2020 Aug,11.1
LASST170000000000003,2020,M09,2020 Sep,10.4
LASST170000000000003,2020,M10,2020 Oct,8.1
LASST170000000000003,2020,M11,2020 Nov,8.1
LASST170000000000003,2020,M12,2020 Dec,8
LASST170000000000003,2021,M01,2021 Jan,7.7
LASST170000000000003,2021,M02,2021 Feb,7.4
LASST170000000000003,2021,M03,2021 Mar,7.1
LASST170000000000003,2021,M04,2021 Apr,7.1
LASST170000000000003,2021,M05,2021 May,7.1
LASST170000000000003,2021,M06,2021 Jun,7.2
LASST170000000000003,2021,M07,2021 Jul,7.1
LASST170000000000003,2021,M08,2021 Aug,7
LASST170000000000003,2021,M09,2021 Sep,6.8
LASST180000000000003,2020,M01,2020 Jan,3.2
LASST180000000000003,2020,M02,2020 Feb,3.2
LASST180000000000003,2020,M03,2020 Mar,3.3
LASST180000000000003,2020,M04,2020 Apr,16.9
LASST180000000000003,2020,M05,2020 May,12
LASST180000000000003,2020,M06,2020 Jun,10.1
LASST180000000000003,2020,M07,2020 Jul,8.6
LASST180000000000003,2020,M08,2020 Aug,7.3
LASST180000000000003,2020,M09,2020 Sep,6.3
LASST180000000000003,2020,M10,2020 Oct,5.6
LASST180000000000003,2020,M11,2020 Nov,5
LASST180000000000003,2020,M12,2020 Dec,4.6
LASST180000000000003,2021,M01,2021 Jan,4.2
LASST180000000000003,2021,M02,2021 Feb,4
LASST180000000000003,2021,M03,2021 Mar,3.9
LASST180000000000003,2021,M04,2021 Apr,3.9
LASST180000000000003,2021,M05,2021 May,4
LASST180000000000003,2021,M06,2021 Jun,4.1
LASST180000000000003,2021,M07,2021 Jul,4.1
LASST180000000000003,2021,M08,2021 Aug,4.1
LASST180000000000003,2021,M09,2021 Sep,4
LASST190000000000003,2020,M01,2020 Jan,2.8
LASST190000000000003,2020,M02,2020 Feb,2.9
LASST190000000000003,2020,M03,2020 Mar,2.9
LASST190000000000003,2020,M04,2020 Apr,11.1
LASST190000000000003,2020,M05,2020 May,8.3
LASST190000000000003,2020,M06,2020 Jun,7.1
LASST190000000000003,2020,M07,2020 Jul,6.1
LASST190000000000003,2020,M08,2020 Aug,5.3
LASST190000000000003,2020,M09,2020 Sep,4.7
LASST190000000000003,2020,M10,2020 Oct,4.2
LASST190000000000003,2020,M11,2020 Nov,3.9
LASST190000000000003,2020,M12,2020 Dec,3.7
LASST190000000000003,2021,M01,2021 Jan,3.6
LASST190000000000003,2021,M02,2021 Feb,3.7
LASST190000000000003,2021,M03,2021 Mar,3.7
LASST190000000000003,2021,M04,2021 Apr,3.8
LASST190000000000003,2021,M05,2021 May,3.9
LASST190000000000003,2021,M06,2021 Jun,4
LASST190000000000003,2021,M07,2021 Jul,4.1
LASST190000000000003,2021,M08,2021 Aug,4.1
LASST190000000000003,2021,M09,2021 Sep,4
LASST200000000000003,2020,M01,2020 Jan,3.1
LASST200000000000003,2020,M02,2020 Feb,3.2
LASST200000000000003,2020,M03,2020 Mar,3.2
LASST200000000000003,2020,M04,2020 Apr,12.6
LASST200000000000003,2020,M05,2020 May,9
LASST200000000000003,2020,M06,2020 Jun,7
LASST200000000000003,2020,M07,2020 Jul,6.6
LASST200000000000003,2020,M08,2020 Aug,6.2
LASST200000000000003,2020,M09,2020 Sep,6.1
LASST200000000000003,2020,M10,2020 Oct,4.7
LASST200000000000003,2020,M11,2020 Nov,4.7
LASST200000000000003,2020,M12,2020 Dec,4.7
LASST200000000000003,2021,M01,2021 Jan,3.4
LASST200000000000003,2021,M02,2021 Feb,3.8
LASST200000000000003,2021,M03,2021 Mar,3.7
LASST200000000000003,2021,M04,2021 Apr,3.5
LASST200000000000003,2021,M05,2021 May,3.5
LASST200000000000003,2021,M06,2021 Jun,3.7
LASST200000000000003,2021,M07,2021 Jul,3.8
LASST200000000000003,2021,M08,2021 Aug,3.8
LASST200000000000003,2021,M09,2021 Sep,3.9
LASST210000000000003,2020,M01,2020 Jan,4.1
LASST210000000000003,2020,M02,2020 Feb,4.2
LASST210000000000003,2020,M03,2020 Mar,4.2
LASST210000000000003,2020,M04,2020 Apr,16.9
LASST210000000000003,2020,M05,2020 May,10.9
LASST210000000000003,2020,M06,2020 Jun,5.7
LASST210000000000003,2020,M07,2020 Jul,5.6
LASST210000000000003,2020,M08,2020 Aug,5.5
LASST210000000000003,2020,M09,2020 Sep,5.5
LASST210000000000003,2020,M10,2020 Oct,5.5
LASST210000000000003,2020,M11,2020 Nov,5.6
LASST210000000000003,2020,M12,2020 Dec,5.6
LASST210000000000003,2021,M01,2021 Jan,5.3
